Raga,Swar Set,Aroha,Avaroha,Vadi,Samvadi,Vivadi,Anuvadi,Key phrase 2
Bhairav,S-r-G-M-P-d-N-S,S-r-G-M-P-d-N-S,S-N-d-P-M-G-r-S,d,r,R-g-m-D-n,S-G-M-P-N,
Bhairav Bahar,S-rR-gG-m-P-D-nN-S,S-r-G-m-P-D-nN-S,S-n-D-P-m-G-r-S,,,,,
Bhairavi,S-r-g-m-P-d-n-S,S-r-g-M-P-d-n-S,S-n-d-P-M-g-r-S,d,r,R-G-M-D-N,,S-g-M-P-n
Bilawal,S-R-G-m-P-D-N-S,S-R-G-m-P-D-N-S,S-N-D-P-m-G-R-S,,,,,
Kafi,S-R-g-m-P-D-n-S,S-R-g-m-P-D-n-S,S-n-D-P-m-g-R-S,,,,,
Marwa,S-r-G-m-D-N-S,S-r-G-m-D-N-S,S-N-D-m-G-r-S,D,r,R-g-M-d-n,S-G-m-N,
Poorvi,S-r-G-mM-P-d-N-S,S-r-G-M-P-d-N-S,S-N-d-P-Mm-G-r-S,,,,,
Todi,S-r-g-M-P-d-N-S,S-r-g-M-P-d-N-S,S-N-d-P-M-g-r-S,g,d,R-G-m-D-n,,S-r-M-P-N
Triveni,S-r-G-P-d-N-S,S-r-G-P-d-N-S,S-N-d-P-G-r-S,,,,,
Tulsikauns,S-g-m-d-nN-S,S,S,,,,,
Vachaspati,S-R-G-M-P-D-n-S,S-R-G-M-P-D-n-S,S-n-D-P-M-G-R-S,,,,,
Vardhini,S-gG-m-P-d-n-S,S,S,,,,,
Vihang,S-r-G-mM-P-D-N-S,S,S,,,,,
Vijayanagari,S-R-g-M-P-D-S,S-R-g-M-P-D-S,S-D-P-M-g-R-S,,,,,
Virat Bhairav,S-r-G-m-P-dD-n-S,S,S,,,,,
Viyogavarali,S-r-g-m-d-N-S,S-r-g-m-d-N-S,S-N-d-m-g-r-S,,,,,
Yaman,S-R-G-M-P-D-N-S,S-R-G-M-P-D-N-S,S-N-D-P-M-G-R-S,,,,,
Zeelaf,S-G-m-P-d-S,S-G-m-P-d-S,S-d-P-m-G-S,,,,,
Zila Kafi,S-R-gG-m-P-D-nN-S,S,S,,,,,